image,true,pred,confidence
normal_00001.png,NORMAL,NORMAL,1.0
normal_00002.png,NORMAL,NORMAL,0.9999
normal_00003.png,NORMAL,NORMAL,1.0
normal_00004.png,NORMAL,NORMAL,1.0
normal_00005.png,NORMAL,NORMAL,1.0
normal_00006.png,NORMAL,NORMAL,1.0
normal_00007.png,NORMAL,NORMAL,1.0
normal_00008.png,NORMAL,NORMAL,1.0
normal_00009.png,NORMAL,NORMAL,1.0
normal_00010.png,NORMAL,NORMAL,1.0
normal_00011.png,NORMAL,NORMAL,1.0
normal_00012.png,NORMAL,NORMAL,1.0
normal_00013.png,NORMAL,NORMAL,1.0
normal_00014.png,NORMAL,NORMAL,1.0
normal_00015.png,NORMAL,NORMAL,1.0
normal_00016.png,NORMAL,NORMAL,1.0
normal_00017.png,NORMAL,NORMAL,1.0
normal_00018.png,NORMAL,NORMAL,1.0
normal_00019.png,NORMAL,NORMAL,1.0
normal_00020.png,NORMAL,NORMAL,1.0
normal_00021.png,NORMAL,NORMAL,1.0
normal_00022.png,NORMAL,NORMAL,1.0
normal_00023.png,NORMAL,NORMAL,1.0
normal_00024.png,NORMAL,NORMAL,1.0
normal_00025.png,NORMAL,NORMAL,1.0
normal_00026.png,NORMAL,NORMAL,1.0
normal_00027.png,NORMAL,NORMAL,1.0
normal_00028.png,NORMAL,NORMAL,1.0
normal_00029.png,NORMAL,NORMAL,1.0
normal_00030.png,NORMAL,NORMAL,1.0
normal_00031.png,NORMAL,NORMAL,1.0
normal_00032.png,NORMAL,NORMAL,1.0
normal_00033.png,NORMAL,NORMAL,1.0
normal_00034.png,NORMAL,NORMAL,1.0
normal_00035.png,NORMAL,NORMAL,1.0
normal_00036.png,NORMAL,NORMAL,1.0
normal_00037.png,NORMAL,NORMAL,1.0
normal_00038.png,NORMAL,NORMAL,1.0
normal_00039.png,NORMAL,NORMAL,1.0
normal_00040.png,NORMAL,NORMAL,1.0
normal_00041.png,NORMAL,NORMAL,1.0
normal_00042.png,NORMAL,NORMAL,1.0
normal_00043.png,NORMAL,NORMAL,1.0
normal_00044.png,NORMAL,NORMAL,1.0
normal_00045.png,NORMAL,NORMAL,1.0
normal_00046.png,NORMAL,NORMAL,1.0
normal_00047.png,NORMAL,NORMAL,1.0
normal_00048.png,NORMAL,NORMAL,1.0
normal_00049.png,NORMAL,NORMAL,1.0
normal_00050.png,NORMAL,NORMAL,1.0
normal_00051.png,NORMAL,NORMAL,1.0
normal_00052.png,NORMAL,NORMAL,1.0
normal_00053.png,NORMAL,NORMAL,1.0
normal_00054.png,NORMAL,NORMAL,1.0
normal_00055.png,NORMAL,NORMAL,1.0
normal_00056.png,NORMAL,NORMAL,1.0
normal_00057.png,NORMAL,NORMAL,1.0
normal_00058.png,NORMAL,NORMAL,1.0
normal_00059.png,NORMAL,NORMAL,1.0
normal_00060.png,NORMAL,NORMAL,1.0
normal_00061.png,NORMAL,NORMAL,1.0
normal_00062.png,NORMAL,NORMAL,1.0
normal_00063.png,NORMAL,NORMAL,1.0
normal_00064.png,NORMAL,NORMAL,1.0
normal_00065.png,NORMAL,NORMAL,1.0
normal_00066.png,NORMAL,NORMAL,1.0
normal_00067.png,NORMAL,NORMAL,1.0
normal_00068.png,NORMAL,NORMAL,1.0
normal_00069.png,NORMAL,NORMAL,1.0
normal_00070.png,NORMAL,NORMAL,1.0
normal_00071.png,NORMAL,NORMAL,1.0
normal_00072.png,NORMAL,NORMAL,1.0
normal_00073.png,NORMAL,NORMAL,1.0
normal_00074.png,NORMAL,NORMAL,1.0
normal_00075.png,NORMAL,NORMAL,1.0
normal_00076.png,NORMAL,NORMAL,1.0
normal_00077.png,NORMAL,NORMAL,1.0
normal_00078.png,NORMAL,NORMAL,1.0
normal_00079.png,NORMAL,NORMAL,1.0
normal_00080.png,NORMAL,NORMAL,1.0
normal_00081.png,NORMAL,NORMAL,1.0
normal_00082.png,NORMAL,NORMAL,1.0
normal_00083.png,NORMAL,NORMAL,1.0
normal_00084.png,NORMAL,NORMAL,1.0
normal_00085.png,NORMAL,NORMAL,1.0
normal_00086.png,NORMAL,NORMAL,1.0
normal_00087.png,NORMAL,NORMAL,1.0
normal_00088.png,NORMAL,NORMAL,1.0
normal_00089.png,NORMAL,NORMAL,1.0
normal_00090.png,NORMAL,NORMAL,1.0
normal_00091.png,NORMAL,NORMAL,0.9993
normal_00092.png,NORMAL,NORMAL,1.0
normal_00093.png,NORMAL,NORMAL,1.0
normal_00094.png,NORMAL,NORMAL,1.0
normal_00095.png,NORMAL,NORMAL,1.0
normal_00096.png,NORMAL,NORMAL,1.0
normal_00097.png,NORMAL,NORMAL,1.0
normal_00098.png,NORMAL,NORMAL,1.0
normal_00099.png,NORMAL,NORMAL,1.0
normal_00100.png,NORMAL,NORMAL,1.0
normal_00101.png,NORMAL,NORMAL,1.0
normal_00102.png,NORMAL,NORMAL,1.0
normal_00103.png,NORMAL,NORMAL,1.0
normal_00104.png,NORMAL,NORMAL,1.0
normal_00105.png,NORMAL,NORMAL,1.0
normal_00106.png,NORMAL,NORMAL,1.0
normal_00107.png,NORMAL,NORMAL,1.0
normal_00108.png,NORMAL,NORMAL,1.0
normal_00109.png,NORMAL,NORMAL,1.0
normal_00110.png,NORMAL,NORMAL,1.0
normal_00111.png,NORMAL,NORMAL,1.0
normal_00112.png,NORMAL,NORMAL,1.0
normal_00113.png,NORMAL,NORMAL,1.0
normal_00114.png,NORMAL,NORMAL,1.0
normal_00115.png,NORMAL,NORMAL,1.0
normal_00116.png,NORMAL,NORMAL,1.0
normal_00117.png,NORMAL,NORMAL,1.0
normal_00118.png,NORMAL,NORMAL,1.0
normal_00119.png,NORMAL,NORMAL,1.0
normal_00120.png,NORMAL,NORMAL,1.0
normal_00121.png,NORMAL,NORMAL,1.0
normal_00122.png,NORMAL,NORMAL,1.0
normal_00123.png,NORMAL,NORMAL,1.0
normal_00124.png,NORMAL,NORMAL,1.0
normal_00125.png,NORMAL,NORMAL,1.0
normal_00126.png,NORMAL,NORMAL,1.0
normal_00127.png,NORMAL,NORMAL,1.0
normal_00128.png,NORMAL,NORMAL,1.0
normal_00129.png,NORMAL,NORMAL,1.0
normal_00130.png,NORMAL,NORMAL,1.0
normal_00131.png,NORMAL,NORMAL,1.0
normal_00132.png,NORMAL,NORMAL,1.0
normal_00133.png,NORMAL,NORMAL,0.9999
normal_00134.png,NORMAL,NORMAL,1.0
normal_00135.png,NORMAL,NORMAL,1.0
normal_00136.png,NORMAL,NORMAL,1.0
normal_00137.png,NORMAL,NORMAL,1.0
normal_00138.png,NORMAL,NORMAL,1.0
normal_00139.png,NORMAL,NORMAL,1.0
normal_00140.png,NORMAL,NORMAL,1.0
normal_00141.png,NORMAL,NORMAL,1.0
normal_00142.png,NORMAL,NORMAL,1.0
normal_00143.png,NORMAL,NORMAL,1.0
normal_00144.png,NORMAL,NORMAL,1.0
normal_00145.png,NORMAL,NORMAL,1.0
normal_00146.png,NORMAL,NORMAL,1.0
normal_00147.png,NORMAL,NORMAL,1.0
normal_00148.png,NORMAL,NORMAL,1.0
normal_00149.png,NORMAL,NORMAL,1.0
normal_00150.png,NORMAL,NORMAL,1.0
normal_00151.png,NORMAL,NORMAL,1.0
normal_00152.png,NORMAL,NORMAL,1.0
normal_00153.png,NORMAL,NORMAL,1.0
normal_00154.png,NORMAL,NORMAL,1.0
normal_00155.png,NORMAL,NORMAL,1.0
normal_00156.png,NORMAL,NORMAL,1.0
normal_00157.png,NORMAL,NORMAL,1.0
normal_00158.png,NORMAL,NORMAL,1.0
normal_00159.png,NORMAL,NORMAL,1.0
normal_00160.png,NORMAL,NORMAL,1.0
normal_00161.png,NORMAL,NORMAL,1.0
normal_00162.png,NORMAL,NORMAL,1.0
normal_00163.png,NORMAL,NORMAL,1.0
normal_00164.png,NORMAL,NORMAL,1.0
normal_00165.png,NORMAL,NORMAL,1.0
normal_00166.png,NORMAL,NORMAL,1.0
normal_00167.png,NORMAL,NORMAL,1.0
normal_00168.png,NORMAL,NORMAL,1.0
normal_00169.png,NORMAL,NORMAL,1.0
normal_00170.png,NORMAL,NORMAL,1.0
normal_00171.png,NORMAL,NORMAL,1.0
normal_00172.png,NORMAL,NORMAL,1.0
normal_00173.png,NORMAL,NORMAL,1.0
normal_00174.png,NORMAL,NORMAL,1.0
normal_00175.png,NORMAL,NORMAL,1.0
normal_00176.png,NORMAL,NORMAL,1.0
normal_00177.png,NORMAL,NORMAL,1.0
normal_00178.png,NORMAL,NORMAL,1.0
normal_00179.png,NORMAL,NORMAL,1.0
normal_00180.png,NORMAL,NORMAL,1.0
normal_00181.png,NORMAL,NORMAL,1.0
normal_00182.png,NORMAL,NORMAL,1.0
normal_00183.png,NORMAL,NORMAL,1.0
normal_00184.png,NORMAL,NORMAL,1.0
normal_00185.png,NORMAL,NORMAL,0.9999
normal_00186.png,NORMAL,NORMAL,1.0
normal_00187.png,NORMAL,NORMAL,1.0
normal_00188.png,NORMAL,NORMAL,0.9938
normal_00189.png,NORMAL,NORMAL,1.0
normal_00190.png,NORMAL,NORMAL,1.0
normal_00191.png,NORMAL,NORMAL,1.0
normal_00192.png,NORMAL,NORMAL,1.0
normal_00193.png,NORMAL,NORMAL,1.0
normal_00194.png,NORMAL,NORMAL,1.0
normal_00195.png,NORMAL,NORMAL,1.0
normal_00196.png,NORMAL,NORMAL,1.0
normal_00197.png,NORMAL,NORMAL,1.0
normal_00198.png,NORMAL,NORMAL,1.0
normal_00199.png,NORMAL,NORMAL,1.0
normal_00200.png,NORMAL,NORMAL,0.9999
normal_00201.png,NORMAL,NORMAL,1.0
normal_00202.png,NORMAL,NORMAL,1.0
normal_00203.png,NORMAL,NORMAL,1.0
normal_00204.png,NORMAL,NORMAL,1.0
normal_00205.png,NORMAL,NORMAL,1.0
normal_00206.png,NORMAL,NORMAL,1.0
normal_00207.png,NORMAL,NORMAL,1.0
normal_00208.png,NORMAL,NORMAL,1.0
normal_00209.png,NORMAL,NORMAL,1.0
normal_00210.png,NORMAL,NORMAL,1.0
normal_00211.png,NORMAL,NORMAL,1.0
normal_00212.png,NORMAL,NORMAL,0.9927
normal_00213.png,NORMAL,NORMAL,1.0
normal_00214.png,NORMAL,NORMAL,1.0
normal_00215.png,NORMAL,NORMAL,1.0
normal_00216.png,NORMAL,NORMAL,1.0
normal_00217.png,NORMAL,NORMAL,1.0
normal_00218.png,NORMAL,NORMAL,1.0
normal_00219.png,NORMAL,NORMAL,1.0
normal_00220.png,NORMAL,NORMAL,1.0
normal_00221.png,NORMAL,NORMAL,1.0
normal_00222.png,NORMAL,NORMAL,1.0
normal_00223.png,NORMAL,NORMAL,1.0
normal_00224.png,NORMAL,NORMAL,1.0
normal_00225.png,NORMAL,NORMAL,1.0
normal_00226.png,NORMAL,NORMAL,1.0
normal_00227.png,NORMAL,NORMAL,1.0
normal_00228.png,NORMAL,NORMAL,1.0
normal_00229.png,NORMAL,NORMAL,1.0
normal_00230.png,NORMAL,NORMAL,1.0
normal_00231.png,NORMAL,NORMAL,1.0
normal_00232.png,NORMAL,NORMAL,1.0
normal_00233.png,NORMAL,NORMAL,1.0
normal_00234.png,NORMAL,NORMAL,1.0
normal_00235.png,NORMAL,NORMAL,1.0
normal_00236.png,NORMAL,NORMAL,1.0
normal_00237.png,NORMAL,NORMAL,1.0
normal_00238.png,NORMAL,NORMAL,1.0
normal_00239.png,NORMAL,NORMAL,1.0
normal_00240.png,NORMAL,NORMAL,1.0
normal_00241.png,NORMAL,NORMAL,1.0
normal_00242.png,NORMAL,NORMAL,1.0
normal_00243.png,NORMAL,NORMAL,1.0
normal_00244.png,NORMAL,NORMAL,1.0
normal_00245.png,NORMAL,NORMAL,1.0
normal_00246.png,NORMAL,NORMAL,1.0
normal_00247.png,NORMAL,NORMAL,1.0
normal_00248.png,NORMAL,NORMAL,1.0
normal_00249.png,NORMAL,NORMAL,1.0
normal_00250.png,NORMAL,NORMAL,1.0
normal_00251.png,NORMAL,NORMAL,1.0
normal_00252.png,NORMAL,NORMAL,1.0
normal_00253.png,NORMAL,NORMAL,1.0
normal_00254.png,NORMAL,NORMAL,1.0
normal_00255.png,NORMAL,NORMAL,1.0
normal_00256.png,NORMAL,NORMAL,1.0
normal_00257.png,NORMAL,NORMAL,1.0
normal_00258.png,NORMAL,NORMAL,1.0
normal_00259.png,NORMAL,NORMAL,1.0
normal_00260.png,NORMAL,NORMAL,1.0
normal_00261.png,NORMAL,NORMAL,1.0
normal_00262.png,NORMAL,NORMAL,1.0
normal_00263.png,NORMAL,NORMAL,1.0
normal_00264.png,NORMAL,NORMAL,1.0
normal_00265.png,NORMAL,NORMAL,1.0
normal_00266.png,NORMAL,NORMAL,1.0
normal_00267.png,NORMAL,NORMAL,1.0
normal_00268.png,NORMAL,NORMAL,1.0
normal_00269.png,NORMAL,NORMAL,1.0
normal_00270.png,NORMAL,NORMAL,1.0
normal_00271.png,NORMAL,NORMAL,1.0
normal_00272.png,NORMAL,NORMAL,1.0
normal_00273.png,NORMAL,NORMAL,1.0
normal_00274.png,NORMAL,NORMAL,1.0
normal_00275.png,NORMAL,NORMAL,1.0
normal_00276.png,NORMAL,NORMAL,1.0
normal_00277.png,NORMAL,NORMAL,1.0
normal_00278.png,NORMAL,NORMAL,1.0
normal_00279.png,NORMAL,NORMAL,1.0
normal_00280.png,NORMAL,NORMAL,1.0
normal_00281.png,NORMAL,NORMAL,1.0
normal_00282.png,NORMAL,NORMAL,1.0
normal_00283.png,NORMAL,NORMAL,1.0
normal_00284.png,NORMAL,NORMAL,1.0
normal_00285.png,NORMAL,NORMAL,1.0
normal_00286.png,NORMAL,NORMAL,1.0
normal_00287.png,NORMAL,NORMAL,0.9999
normal_00288.png,NORMAL,NORMAL,1.0
normal_00289.png,NORMAL,NORMAL,0.9999
normal_00290.png,NORMAL,NORMAL,1.0
normal_00291.png,NORMAL,NORMAL,1.0
normal_00292.png,NORMAL,NORMAL,1.0
normal_00293.png,NORMAL,NORMAL,1.0
normal_00294.png,NORMAL,NORMAL,1.0
normal_00295.png,NORMAL,NORMAL,1.0
normal_00296.png,NORMAL,NORMAL,1.0
normal_00297.png,NORMAL,NORMAL,1.0
normal_00298.png,NORMAL,NORMAL,1.0
normal_00299.png,NORMAL,NORMAL,1.0
normal_00300.png,NORMAL,NORMAL,1.0
normal_00301.png,NORMAL,NORMAL,1.0
normal_00302.png,NORMAL,NORMAL,1.0
normal_00303.png,NORMAL,NORMAL,1.0
normal_00304.png,NORMAL,NORMAL,1.0
normal_00305.png,NORMAL,NORMAL,1.0
normal_00306.png,NORMAL,NORMAL,1.0
normal_00307.png,NORMAL,NORMAL,1.0
normal_00308.png,NORMAL,NORMAL,1.0
normal_00309.png,NORMAL,NORMAL,1.0
normal_00310.png,NORMAL,NORMAL,1.0
normal_00311.png,NORMAL,NORMAL,1.0
normal_00312.png,NORMAL,NORMAL,1.0
normal_00313.png,NORMAL,NORMAL,1.0
normal_00314.png,NORMAL,NORMAL,1.0
normal_00315.png,NORMAL,NORMAL,1.0
normal_00316.png,NORMAL,NORMAL,1.0
normal_00317.png,NORMAL,NORMAL,1.0
normal_00318.png,NORMAL,NORMAL,1.0
normal_00319.png,NORMAL,NORMAL,1.0
normal_00320.png,NORMAL,NORMAL,1.0
normal_00321.png,NORMAL,NORMAL,1.0
