class_1,file_name_1,file_path_1,class_2,file_name_2,file_path_2
sick,s0009.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0009.png,sick,s3576.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3576.png
sick,s0021.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0021.png,sick,s0740.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0740.png
sick,s0045.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0045.png,sick,s4496.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4496.png
sick,s0055.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0055.png,sick,s0480.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0480.png
sick,s0070.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0070.png,sick,s1016.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1016.png
sick,s0081.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0081.png,sick,s0398.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0398.png
sick,s0099.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0099.png,sick,s4529.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4529.png
sick,s0109.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0109.png,sick,s3378.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3378.png
sick,s0135.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0135.png,sick,s1765.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1765.png
sick,s0166.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0166.png,sick,s0215.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0215.png
sick,s0179.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0179.png,sick,s2760.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2760.png
sick,s0199.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0199.png,sick,s2193.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2193.png
sick,s0214.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0214.png,sick,s1066.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1066.png
sick,s0243.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0243.png,sick,s0278.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0278.png
sick,s0259.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0259.png,sick,s4003.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4003.png
sick,s0268.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0268.png,sick,s3270.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3270.png
sick,s0270.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0270.png,sick,s4019.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4019.png
sick,s0290.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0290.png,sick,s4856.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4856.png
