normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00002.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00003.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00004.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00005.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00006.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00007.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00008.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00009.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00010.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00011.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00012.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00013.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00014.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00015.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00016.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00017.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00018.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00019.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00020.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00021.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00022.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00023.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00024.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00025.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00026.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00027.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00028.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00029.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00030.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00031.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00032.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00033.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00034.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00035.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00036.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00037.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00038.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00039.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00040.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00041.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00042.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00043.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00044.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00045.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00046.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00047.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00048.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00049.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00050.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00051.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00052.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00053.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00054.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00055.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00056.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00057.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00058.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00059.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00060.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00061.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00062.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00063.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00064.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00065.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00066.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00067.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00068.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00069.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00070.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00071.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00072.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00073.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00074.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00075.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00076.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00077.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00078.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00079.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00080.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00081.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00082.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00083.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00084.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00085.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00086.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00087.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00088.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00089.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00090.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00091.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00092.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00093.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00094.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00095.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00096.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00097.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00098.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00099.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00100.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00101.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00102.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00103.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00104.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00105.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00106.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00107.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00108.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00109.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00110.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00111.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00112.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00113.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00114.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00115.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00116.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00117.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00118.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00119.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00120.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00121.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00122.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00123.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00124.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00125.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00126.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00127.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00128.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00129.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00130.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00131.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00132.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00133.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00134.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00135.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00136.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00137.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00138.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00139.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00140.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00141.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00142.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00143.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00144.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00145.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00146.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00147.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00148.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00149.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00150.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00151.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00152.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00153.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00154.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00155.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00156.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00157.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00158.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00159.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00160.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00161.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00162.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00163.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00164.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00165.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00166.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00167.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00168.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00169.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00170.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00171.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00172.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00173.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00174.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00175.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00176.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00177.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00178.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00179.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00180.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00181.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00182.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00183.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00184.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00185.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00186.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00187.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00188.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00189.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00190.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00191.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00192.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00193.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00194.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00195.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00196.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00197.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00198.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00199.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00200.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00201.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00202.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00203.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00204.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00205.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00206.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00207.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00208.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00209.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00210.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00211.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00212.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00213.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00214.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00215.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00216.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00217.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00218.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00219.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00220.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00221.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00222.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00223.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00224.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00225.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00226.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00227.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00228.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00229.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00230.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00231.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00232.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00233.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00234.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00235.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00236.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00237.png
normal | train | G:\Ai-CDD\data\raw\dataset\train\NORMAL\normal_00238.png
