reason,recommended_remove,keep
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00501.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00001.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_01965.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00001.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00502.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00002.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\test\TUBERCULOSIS\tb_00421.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00002.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00504.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00003.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\test\TUBERCULOSIS\tb_00422.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00003.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00507.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00004.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_01967.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00004.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00512.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00005.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_01971.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00005.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00387.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00006.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00518.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00006.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00520.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00007.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_01974.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00007.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00530.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00008.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_01978.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00008.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00542.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00009.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_01987.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00009.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00545.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00010.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00546.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00011.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00549.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00012.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_01991.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00012.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00393.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00013.png
exact_duplicate,G:\Ai-CDD\data\raw\dataset\train\TUBERCULOSIS\tb_00551.png,G:\Ai-CDD\data\raw\dataset\val\TUBERCULOSIS\tb_00013.png
