keep_image,remove_image,distance
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0001.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h1781.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h3904.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\tb\tb1181.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0009.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3576.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0021.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0740.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0045.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4496.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0055.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0480.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0070.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1016.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0081.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0398.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0099.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4529.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0109.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3378.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0135.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1765.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0138.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2287.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0166.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0215.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0179.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2760.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0195.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0759.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0199.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2193.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0214.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1066.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0228.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0707.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0243.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0278.png,0
G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0259.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4003.png,0
